node ID,type,title,group,role,mode,upstream,downstream,optional yes/no
1,KSampler,KSampler,Process SDXL,processing,0,87;230;231;230;230;230;418;418;535;600,14,no
2,CheckpointLoaderSimple,Load SDXL Checkpoint,MODEL LOADERS,processing,0,,6;7;86;14;168;536,no
3,EmptyLatentImage,# PREVIEWS (ONLY IF GENERATION=1),SAMPLER CONFIGURATION,processing,0,783;783,535,no
5,CLIPTextEncode,SDXL Prompt POSITIVE,Process SDXL,processing,0,87;897,418,no
6,CLIPTextEncode,SDXL Prompt NEGATIVE,Process SDXL,processing,0,2;814,418,no
7,IPAdapterAdvanced,IPAdapterAdvanced,Process SDXL,processing,0,9;12;13;2;721,168,no
9,PrepImageForClipVision,IPAdapter Prep Img ClipVis,Process SDXL,processing,0,630,7,no
12,CLIPVisionLoader,Load SDXL CLIP Vision,MODEL LOADERS,processing,0,,7,no
13,IPAdapterModelLoader,Load SDXL IPAdapter Model,MODEL LOADERS,processing,0,,7,no
14,VAEDecode,VAEDecode,Process SDXL,processing,0,2;1,565;715,no
15,PreviewImage,Preview FINAL IMAGE,OUTPUT,processing,0,849,,yes
21,ControlNetLoader,Load SDXL DEPTH-ControlNet Model,MODEL LOADERS,processing,0,,417,no
23,ControlNetLoader,Load SDXL CANNY-ControlNet Model,MODEL LOADERS,processing,0,,419,no
25,LoadImage,LoadImage,INPUTS,processing,0,,784;675,no
38,DepthAnythingV2Preprocessor,DepthAnythingV2Preprocessor,Controlnet Preprocessors + Extras,processing,0,79,39;542,no
39,PreviewImage,PreviewImage,Controlnet Preprocessors + Extras,processing,0,38,,yes
41,LoadImage,LoadImage,INPUTS,processing,0,,793,no
42,LoadImage,LoadImage,INPUTS,processing,0,,630;793,no
52,CLIPTextEncode,FLUX Prompt POSITIVE (Florence2),Process FLUX,processing,0,466;158,453,no
53,VAEDecode,VAEDecode,Process FLUX,processing,0,57;54,141;72;730;834;888,no
54,VAELoader,Load FLUX VAE,MODEL LOADERS,processing,0,,53;67;496;494;829;833,no
57,SamplerCustomAdvanced,SamplerCustomAdvanced,Process FLUX,processing,0,61;60;58;59;67,53,no
58,KSamplerSelect,KSamplerSelect,SAMPLER CONFIGURATION,processing,0,,57;495;828,no
59,BasicScheduler,BasicScheduler,SAMPLER CONFIGURATION,processing,0,64;771,57,no
60,BasicGuider,BasicGuider,Process FLUX,processing,0,64;62,57,no
61,RandomNoise,RandomNoise,Process FLUX,processing,0,231,57;495;828,no
62,FluxGuidance,FluxGuidance,SAMPLER CONFIGURATION,processing,0,453,60,no
64,ModelSamplingFlux,ModelSamplingFlux,Process FLUX,processing,0,467;783;783,59;60;498;497;819;833,no
67,VAEEncode,VAEEncode,Process FLUX,processing,0,54;573,57,no
71,Image Comparer (rgthree),Image Comparer INPUT / SDXL,OUTPUT,processing,0,79;779,,yes
72,Image Comparer (rgthree),Image Comparer SDXL / FLUX,OUTPUT,processing,0,53;779,,yes
79,LoadImage,LoadImage,INPUTS,processing,0,,38;165;451;71;695;715;783;785,no
86,CLIPSetLastLayer,CLIPSetLastLayer,Process SDXL,processing,0,2,87,no
87,Lora Loader Stack (rgthree),Lora Loader Stack (rgthree),MODEL LOADERS,processing,0,86;168,1;5,no
107,DownloadAndLoadSAM2Model,(Down)Load SAM2Model - SINGLE,MODEL LOADERS,processing,0,,115;585,no
112,DownloadAndLoadFlorence2Model,(Down)Load Florence2Model,MODEL LOADERS,processing,0,,157;550;580,no
113,PreviewImage,PreviewImage,OUTPUT,processing,0,550,,yes
114,Florence2toCoordinates,Florence2toCoordinates,PPL SEGMENTATION,processing,0,550,115,no
115,Sam2Segmentation,Sam2Segmentation,PPL SEGMENTATION,processing,0,107;114;780,144;524,no
138,CLIPTextEncode,FLUX Prompt NEGATIVE,Process FLUX,processing,0,466,494;833,no
141,Image Comparer (rgthree),Image Comparer FLUX / UPSCALE,OUTPUT,processing,0,53;833,,yes
144,GrowMask,GrowMask,PPL SEGMENTATION,processing,0,115,146,no
146,MaskBlur+,MaskBlur+,PPL SEGMENTATION,processing,0,144,420;500,no
153,UpscaleModelLoader,UpscaleModelLoader,MODEL LOADERS,processing,0,,833,no
154,easy float,UPSCALE BY FACTOR,CONTROL,processing,0,,832;833;835,no
157,Florence2Run,Florence2Run,Process SEGMENTATION,processing,0,112;779,158,no
158,ShowText|pysssss,ShowText|pysssss,Process FLUX,processing,0,157,52,no
165,Image Edge Detection Filter,Image Edge Detection Filter,Controlnet Preprocessors + Extras,processing,0,79,167;732,no
167,PreviewImage,PreviewImage,Controlnet Preprocessors + Extras,processing,0,165,,yes
168,CR Model Input Switch,1=SDXL/ 2=SDXL+IPA,CONTROL,control,0,7;2,87,no
230,KSampler Config (rgthree),SDXL Config,SAMPLER CONFIGURATION,processing,0,,1;1;1;1,no
231,Seed (rgthree),GLOBAL Seed,SAMPLER CONFIGURATION,processing,0,,1;61,no
232,Sam2AutoSegmentation,Sam2AutoSegmentation,Process SEGMENTATION,processing,0,234;779,233,no
233,PreviewImage,PreviewImage,MASKS,processing,0,232,,yes
234,DownloadAndLoadSAM2Model,(Down)Load SAM2Model - AUTO,MODEL LOADERS,processing,0,,232,no
293,Image Save,Image Save LQ,OUTPUT,processing,0,849,,yes
301,LoadImage,LoadImage,INPUTS,processing,0,,845;848,no
309,LoadImage,LoadImage,INPUTS,processing,0,,840;849,no
337,MaskFromRGBCMYBW+,MaskFromRGBCMYBW+,Process SEGMENTATION,processing,0,338,339;346;347;348;349;350;352;354,no
338,LoadImage,LoadImage,INPUTS,processing,0,,337,no
339,MaskToImage,MaskToImage,MASKS,processing,0,337,340,no
340,PreviewImage,PreviewImage,Ungrouped,processing,0,339,,yes
341,PreviewImage,PreviewImage,Ungrouped,processing,0,346,,yes
